carat,cut,color,clarity,depth,table,price,x,y,z
0.7,Ideal,E,,61.0,,3504.0,5.74,5.78,3.52
,Ideal,,VS2,61.3,57.0,3504.0,5.73,5.75,
,Ideal,E,,60.8,56.0,3504.0,5.74,5.78,3.5
1.52,Fair,H,I1,64.9,58.0,3504.0,7.18,,4.65
,Ideal,I,I1,,56.0,3505.0,6.82,6.85,
,Good,D,SI1,61.9,64.0,3505.0,6.09,6.0,3.74
0.91,,,SI1,63.1,63.0,3506.0,6.11,6.16,3.87
,Premium,E,SI1,,59.0,3506.0,,6.18,3.62
1.01,Very Good,,SI2,,55.0,3507.0,6.36,6.31,4.0
1.01,Premium,H,SI2,62.0,60.0,3507.0,6.39,6.25,3.92
0.81,,G,VS1,63.1,,3507.0,5.92,5.96,3.75
1.01,Premium,F,,61.8,54.0,,6.47,6.42,
0.9,Premium,F,SI2,62.2,,3507.0,6.08,,3.77
0.9,Premium,,SI2,61.5,61.0,,6.1,6.06,3.74
1.03,,,I1,61.1,,3507.0,,6.51,
,Very Good,,I1,,61.0,3508.0,,6.91,
0.9,,E,SI1,59.0,,3508.0,6.34,6.3,3.73
0.9,Very Good,E,SI1,63.5,55.0,3508.0,6.22,6.12,3.92
0.9,Fair,E,SI1,65.5,59.0,,6.06,,3.96
0.55,Good,D,IF,58.0,,,5.31,,
0.73,Ideal,D,VS1,61.1,57.0,3509.0,5.85,,
0.9,Good,,SI1,63.8,56.0,3510.0,6.09,6.17,3.91
1.15,Very Good,G,I1,,,,6.74,6.8,4.14
0.9,,E,SI1,62.9,57.0,,6.11,6.17,3.86
,Ideal,,,61.9,56.0,3510.0,,5.81,3.59
0.73,Very Good,E,,,58.0,3511.0,5.68,,
0.91,Premium,D,SI2,,60.0,3511.0,6.4,6.33,3.71
1.0,,H,SI1,,51.0,3511.0,6.47,6.4,4.0
1.0,Fair,,SI1,,57.0,3511.0,,6.21,4.08
1.0,,H,,65.5,57.0,,6.26,,4.08
1.01,,G,,60.8,63.0,3512.0,,,3.88
1.04,,I,,61.6,58.0,3512.0,,6.47,4.02
0.9,,G,,,,3512.0,6.1,,3.89
0.9,Very Good,G,,63.2,62.0,3512.0,,,3.88
1.02,Premium,,,61.6,58.0,3513.0,,6.35,3.93
,Premium,,VS1,62.1,56.0,3513.0,6.02,5.97,3.72
0.82,Ideal,,,61.9,57.0,3514.0,5.96,5.99,3.7
,Premium,,VS1,,58.0,3514.0,,5.94,3.7
0.81,Ideal,H,,61.9,56.0,3514.0,,5.97,3.68
1.06,Very Good,I,SI2,58.4,,,6.65,6.7,3.9
,,,VS2,61.5,55.0,3516.0,5.74,,3.54
0.71,Ideal,F,VS2,61.8,55.0,3516.0,5.74,,3.55
,Ideal,F,VS2,61.6,56.0,,5.74,,3.54
0.71,Ideal,,VS1,62.0,,3516.0,5.72,,
0.9,Ideal,H,,,57.0,,6.19,,
0.76,Very Good,,,63.4,58.0,3517.0,5.76,5.82,3.67
0.7,Ideal,H,VVS1,61.5,57.0,3517.0,5.69,5.73,
0.74,Ideal,D,SI1,,,3517.0,5.84,5.88,3.62
,Ideal,D,,61.5,54.0,3517.0,5.27,5.21,3.22
0.94,Very Good,,SI2,62.4,58.0,,6.17,6.23,3.87
0.74,,,,60.2,55.0,,5.87,5.92,
0.71,,D,,60.9,,,,5.76,3.5
0.9,,,VS2,63.3,58.0,3519.0,,6.13,3.86
0.9,Very Good,F,,,57.0,3519.0,6.27,,
0.9,Very Good,F,SI2,61.1,54.0,3519.0,,6.29,3.84
0.9,Very Good,,,,57.0,3519.0,6.21,6.24,3.82
0.9,,F,SI2,61.6,58.0,3519.0,6.15,6.23,3.81
,,F,SI2,63.1,58.0,,,6.13,3.86
0.9,,F,SI2,62.4,59.0,3519.0,,6.16,
0.9,Very Good,,SI2,,58.0,,6.16,6.19,3.85
0.9,,F,,63.1,56.0,3519.0,,6.18,3.88
0.79,Very Good,F,,,57.0,3519.0,,,
1.02,Premium,E,I1,60.4,62.0,,,6.47,3.92
1.0,Ideal,E,I1,61.8,,3520.0,6.38,,
0.91,Good,E,,,61.0,3520.0,6.04,6.14,
0.91,,H,SI1,63.8,60.0,3520.0,6.0,6.16,3.88
,Ideal,I,SI2,,56.0,,6.45,6.37,
,Ideal,G,SI2,62.5,,,6.15,6.2,
0.9,Ideal,G,SI2,61.2,57.0,3521.0,6.24,6.28,3.83
0.93,Ideal,G,SI1,,57.0,,6.29,6.25,3.82
0.72,Ideal,D,,61.6,56.0,,5.73,,
,Good,G,,,63.0,3522.0,6.52,6.39,3.67
0.73,Ideal,F,VVS2,61.7,,3524.0,5.76,5.82,3.57
0.7,Ideal,H,VVS1,60.3,,3524.0,5.77,5.82,3.49
,Good,D,VS1,59.2,,3524.0,,,3.46
,Premium,J,,59.5,58.0,3524.0,6.89,6.77,
0.75,,G,VVS2,61.3,55.0,3525.0,5.85,5.89,3.59
0.73,Ideal,G,,61.7,56.0,3525.0,5.76,5.79,3.56
0.9,,E,SI2,,,3526.0,6.1,6.15,3.87
0.71,,E,SI1,,56.0,3527.0,,5.84,3.53
0.95,,,SI2,58.7,63.0,3527.0,6.43,6.37,3.76
1.0,Premium,F,SI1,,58.0,3528.0,6.39,6.27,3.95
1.0,Ideal,G,SI2,60.3,57.0,3528.0,6.51,6.45,
0.82,Very Good,G,,,56.0,3528.0,5.94,5.98,
,,D,VS2,61.4,56.0,,5.78,,3.56
1.0,,H,,63.9,58.0,,6.36,6.28,4.03
,Premium,J,,61.9,62.0,,,6.33,3.93
1.0,Good,,,63.9,,3528.0,,6.26,4.01
,Premium,E,I1,,,3528.0,6.91,6.86,
1.0,Ideal,J,,62.1,56.0,3528.0,6.41,6.34,3.96
,Premium,E,VS2,62.4,,3528.0,6.04,,
,Ideal,J,VS1,,56.0,,6.59,,3.98
1.05,Ideal,H,SI2,62.0,,,,6.5,4.04
0.92,Premium,I,,60.7,,3529.0,6.3,,3.81
0.7,Ideal,D,,62.8,,,5.65,,3.56
,Fair,G,SI2,,58.0,3530.0,6.32,6.26,4.13
1.03,Ideal,,,59.8,,,6.64,6.58,3.95
1.03,Fair,I,,65.2,56.0,3530.0,,,4.16
0.24,,E,SI1,59.9,,,4.06,4.1,2.44
0.35,Ideal,H,VS2,61.2,,571.0,4.54,4.55,2.78
,Ideal,H,VS2,61.7,56.0,571.0,4.55,,2.82
,Ideal,H,VS2,61.2,56.0,,,4.56,
,,I,VS1,61.7,,571.0,,4.57,2.81
,Ideal,I,VS1,,,,4.54,4.57,2.83
0.36,Ideal,G,SI1,61.5,54.0,571.0,4.6,4.63,
0.36,Ideal,G,SI1,61.1,,571.0,4.58,,2.81
0.36,Ideal,G,SI1,61.4,55.0,571.0,4.61,4.64,2.84
0.32,Ideal,G,,62.6,55.0,571.0,4.41,,2.75
0.32,,D,SI2,64.1,,571.0,4.37,4.34,2.79
0.34,Very Good,,SI2,63.1,56.0,,4.51,,2.83
0.31,Premium,,SI1,62.0,58.0,571.0,4.3,4.35,2.68
0.31,Good,,SI1,63.5,57.0,571.0,4.28,4.32,2.73
0.31,Ideal,,SI1,62.3,54.0,,4.33,,2.71
0.31,,D,SI1,61.4,58.0,571.0,4.33,4.36,2.67
0.31,Good,D,SI1,,55.0,571.0,,,
,,D,SI1,61.9,57.0,571.0,4.33,,
0.31,Ideal,D,,,,571.0,4.32,4.36,2.72
0.31,Very Good,D,,63.0,55.0,571.0,4.32,4.34,2.73
0.31,Ideal,D,SI1,62.0,55.0,,,,2.71
0.31,Ideal,I,VVS1,,54.0,571.0,4.38,4.41,
,,,SI1,63.5,56.0,571.0,4.29,4.31,
0.31,Ideal,D,SI1,61.8,,571.0,4.32,4.36,
0.31,,,SI1,62.4,56.0,571.0,4.33,,2.71
0.31,Very Good,D,SI1,61.7,59.0,571.0,4.31,4.35,2.67
0.31,Ideal,D,,61.7,57.0,,4.34,4.38,2.69
0.31,Good,D,SI1,,57.0,,4.3,4.32,2.72
,,,SI1,61.4,,571.0,4.35,4.38,
,Good,D,SI1,,58.0,571.0,,4.35,
,,G,SI2,60.0,,3531.0,6.27,6.32,3.78
,Ideal,F,VS2,60.4,58.0,3531.0,6.0,5.95,
0.78,Ideal,F,VS2,61.5,56.0,3531.0,,5.9,
,Ideal,F,,62.3,56.0,3531.0,5.91,5.88,
,Good,,SI2,63.8,57.0,3532.0,6.31,,4.04
0.77,Ideal,F,,,,3533.0,,5.92,
0.96,Fair,,,65.6,58.0,3533.0,6.11,6.15,
0.9,Very Good,D,,,63.0,3534.0,6.12,6.22,3.72
0.9,,D,,60.6,61.0,3534.0,6.14,6.2,
0.9,Very Good,,,,,3534.0,,,
0.9,Good,,SI2,,64.0,,6.1,,3.69
,Very Good,,,63.0,58.0,,5.8,5.86,3.67
1.02,Good,J,,,56.0,3534.0,6.36,6.42,4.05
1.02,Very Good,J,SI2,,,,6.39,6.42,
0.92,Very Good,F,SI2,,63.0,3534.0,,6.25,3.81
0.9,Very Good,I,VS2,62.1,,3535.0,,,3.79
0.82,Very Good,G,VS2,59.8,56.0,3535.0,6.13,,
0.84,,,VS2,62.0,,,,6.09,
0.73,,E,,61.6,55.0,,5.8,5.83,
0.7,Ideal,D,VS1,62.2,56.0,3535.0,5.69,5.72,3.55
1.01,,J,VS2,,61.0,,6.47,6.43,3.86
,Very Good,F,,60.6,60.0,,,5.7,3.45
0.65,Ideal,G,IF,,,3536.0,,5.65,3.38
0.7,Good,F,VVS1,61.2,61.0,3536.0,5.71,5.79,3.52
,,J,SI2,57.8,61.0,3536.0,6.54,6.58,
0.92,,H,SI2,64.5,60.0,3536.0,,6.01,3.89
0.78,Ideal,F,VS1,,56.0,3537.0,5.9,5.92,3.64
0.74,Ideal,G,VVS1,,,3537.0,5.8,5.83,3.61
1.08,Ideal,J,,61.8,,,6.56,6.58,4.06
0.9,Ideal,I,,62.0,,3537.0,6.16,6.23,3.84
0.91,,E,SI2,63.9,61.0,,6.03,,3.87
0.9,,H,VS2,64.8,58.0,3538.0,,6.03,3.92
0.9,,H,VS2,64.0,,,6.14,6.11,3.92
0.9,,H,VS2,64.6,55.0,3538.0,,6.0,
0.78,Premium,E,VS1,62.2,,3538.0,5.9,5.86,
,Ideal,E,VS2,62.0,,3538.0,5.99,5.97,3.71
0.79,Premium,,,61.2,56.0,3539.0,6.0,,
0.79,Very Good,E,,62.7,56.0,3539.0,5.85,5.88,3.68
0.9,,I,,62.4,58.0,3539.0,6.16,6.22,3.86
0.9,Very Good,G,SI2,,55.0,3539.0,6.13,6.17,3.84
0.91,Good,F,,63.8,59.0,3539.0,,,
,Good,D,SI2,63.4,59.0,3540.0,6.15,,
0.71,Ideal,D,VS2,,,3540.0,5.8,5.83,
0.72,Ideal,G,,,56.0,3540.0,5.74,5.78,
1.01,Fair,F,SI2,,59.0,,,6.25,4.2
0.64,Very Good,,,,,,5.51,5.53,3.41
1.0,Fair,,SI2,64.7,58.0,,6.24,6.19,4.02
1.0,,G,,,65.0,3541.0,,6.46,
1.52,,I,,61.2,58.0,,,7.35,4.52
,Ideal,F,I1,,,3542.0,,6.68,
,Very Good,G,IF,58.5,60.0,3543.0,,,
0.75,,E,VS1,61.9,,3543.0,5.83,5.86,3.62
0.72,Ideal,,VS2,62.0,,3543.0,5.73,5.76,
1.06,Ideal,F,I1,62.1,55.0,3544.0,,6.57,4.07
1.06,Ideal,F,I1,61.8,55.0,3544.0,,6.58,4.06
0.81,,G,,,55.0,3544.0,5.92,5.97,3.72
0.95,Very Good,I,,61.0,61.0,,6.29,6.37,3.86
0.86,Ideal,,VVS2,61.4,58.0,3544.0,6.07,6.1,
0.77,Ideal,G,VS2,62.1,56.0,,5.84,5.88,3.64
0.81,,G,VS1,62.3,57.0,3544.0,5.99,5.95,3.72
,Premium,,I1,62.7,,3544.0,6.63,,
0.71,Premium,,IF,,,3545.0,5.74,5.77,3.56
0.9,Premium,H,SI1,62.7,58.0,3545.0,6.14,,3.87
0.9,Ideal,,VS1,62.4,,3545.0,6.17,6.21,3.86
1.07,Fair,,SI2,,,3545.0,6.34,,
0.92,Premium,I,SI1,58.8,59.0,,6.36,6.33,
1.07,,G,SI2,,,3545.0,,6.49,4.06
,,,SI2,63.9,58.0,,6.31,6.37,4.05
1.04,,,SI2,62.4,58.0,3546.0,6.4,,4.02
0.91,Premium,F,SI2,58.9,61.0,3546.0,6.36,6.33,3.74
0.91,Premium,F,SI2,61.0,51.0,3546.0,,6.21,
1.01,Fair,H,,,57.0,3546.0,,,4.05
0.72,Ideal,,VS2,,55.0,,5.81,,
1.07,,G,I1,62.3,60.0,,6.55,6.51,4.07
0.9,Ideal,H,SI2,62.6,57.0,3548.0,6.16,,3.83
,Ideal,G,VVS1,61.7,54.8,,,5.77,3.55
0.85,Ideal,I,VS1,,,,6.08,,
0.96,Good,H,SI2,,64.0,3548.0,6.43,6.35,3.84
0.76,Very Good,G,VVS2,62.3,,3549.0,,5.84,3.62
1.09,Ideal,,I1,61.0,,3549.0,6.62,6.66,4.05
0.72,Very Good,,,,57.0,,5.81,,
0.72,Ideal,D,SI1,60.5,56.0,3550.0,,,
0.92,Premium,D,,62.5,59.0,3550.0,6.24,,3.89
0.75,Very Good,F,VVS2,61.1,,3551.0,5.85,,3.59
0.9,,F,SI2,60.8,55.0,3552.0,6.25,6.28,3.81
0.71,Ideal,E,VS2,61.6,56.0,,,5.77,
0.71,Ideal,E,VS2,61.3,56.0,3553.0,,5.79,
0.9,Premium,F,SI2,60.7,59.0,,,6.21,3.78
1.04,,I,SI2,61.9,56.0,3553.0,,,4.02
1.03,,I,VS1,61.6,58.0,3553.0,6.5,,3.98
0.72,Ideal,D,VS1,61.6,56.0,,5.8,5.73,3.55
0.92,Premium,G,,,57.0,3555.0,6.22,,3.87
0.92,Premium,H,SI1,62.0,60.0,,6.27,6.21,3.87
0.75,Ideal,E,VS1,62.5,,3555.0,5.8,,3.64
,Good,,,63.3,54.0,3555.0,6.34,6.42,
,Premium,G,SI2,,62.0,3555.0,6.36,,
,Premium,,SI2,,58.0,3556.0,6.19,,3.78
0.9,Premium,F,SI2,61.3,59.0,3556.0,6.16,,3.76
0.83,,,SI1,,54.0,,6.08,6.02,3.78
,,F,SI2,63.4,58.0,,6.08,,
0.83,,,SI1,59.7,59.0,3556.0,,,3.66
0.73,,D,,60.0,58.0,,5.9,5.86,
,,,VS2,60.2,60.0,3557.0,6.04,6.09,3.65
0.91,Ideal,G,SI2,62.7,57.0,3557.0,6.15,,3.87
0.91,,G,SI2,61.8,56.0,3557.0,6.21,,3.85
,Ideal,H,SI1,,56.0,3557.0,,6.17,
,Ideal,J,VVS2,60.6,57.0,3558.0,6.4,6.34,
,,F,VS1,63.6,,3559.0,5.82,5.91,3.73
,Ideal,F,SI1,62.2,,3560.0,6.01,6.03,3.74
0.79,Ideal,G,VS1,62.0,56.0,3561.0,,5.94,3.67
0.7,Good,D,VS2,59.9,59.0,3561.0,5.69,5.73,3.42
0.93,Very Good,I,,62.5,,3562.0,6.2,6.25,3.89
1.0,,,SI2,,61.0,,6.59,6.51,3.87
1.0,Ideal,F,SI2,61.0,,3562.0,6.45,,3.92
0.75,Ideal,D,VS2,,,3562.0,5.85,,3.6
0.93,,I,VS2,,57.0,3563.0,6.13,6.21,3.92
0.78,Very Good,F,,63.3,56.0,3563.0,5.84,5.89,3.71
1.01,Very Good,I,SI1,63.1,58.0,3563.0,,6.33,4.01
1.01,Premium,J,SI2,62.5,62.0,3563.0,6.41,6.36,3.99
1.01,,F,SI2,63.4,60.0,3563.0,6.33,,3.99
1.01,,J,,61.7,58.0,3563.0,6.44,,
1.01,,J,SI2,61.8,60.0,3563.0,6.41,6.37,3.95
1.01,,F,SI2,60.2,61.0,,6.49,,3.89
0.78,Very Good,E,VS1,61.0,55.0,3564.0,5.94,5.96,3.63
,Premium,,SI2,62.8,,3564.0,6.47,6.42,4.05
0.72,,F,VS2,61.8,56.0,3564.0,5.72,5.74,3.54
0.8,,D,SI1,62.7,57.0,3564.0,5.88,5.92,3.7
,Fair,G,SI2,66.1,60.0,,,6.23,4.15
0.73,,E,,60.2,60.0,,5.81,,
0.72,Premium,E,VVS1,62.9,59.0,,5.75,,3.59
0.87,Ideal,E,,60.4,58.0,3566.0,,6.23,3.75
,Very Good,G,VVS1,60.2,61.0,,5.83,,3.53
,,D,SI1,61.9,,,,6.09,3.74
0.7,Very Good,D,VS1,61.2,56.0,3567.0,5.68,5.75,3.5
0.91,,H,VS2,63.1,,3567.0,,6.13,3.89
0.9,Premium,D,SI1,61.7,,3568.0,6.16,,
,Premium,G,SI1,60.0,60.0,3568.0,,6.42,
0.72,Ideal,D,SI1,,55.0,3568.0,,5.8,3.57
,Very Good,,SI2,62.7,59.0,3569.0,6.1,6.18,3.85
0.9,Very Good,F,SI2,,58.0,3569.0,,6.19,3.85
1.0,Good,D,SI2,,,,6.24,6.29,4.01
,Ideal,,,62.4,55.0,3569.0,6.38,6.34,3.97
0.72,Good,D,,63.3,55.0,,5.69,5.75,3.62
0.9,Good,E,SI1,,,3570.0,,6.22,3.92
0.83,Ideal,H,,61.7,,3570.0,6.02,,
,Ideal,,VVS1,,,,5.41,5.43,3.34
0.9,Very Good,I,VS2,,56.0,3570.0,,6.09,
1.2,,I,I1,61.9,56.0,3570.0,6.85,6.82,4.23
0.74,Ideal,G,VS1,61.5,56.0,3572.0,,,
1.19,Premium,,I1,,61.0,3572.0,6.91,6.87,
0.91,Very Good,D,SI2,58.3,,3573.0,,6.4,3.71
1.16,,H,,62.1,,,6.72,6.65,4.15
1.1,Very Good,I,SI1,63.5,57.0,,6.55,,
0.9,Good,G,SI1,63.2,62.0,3574.0,,6.19,3.88
0.9,,G,SI1,63.9,60.0,3574.0,6.07,6.1,3.89
0.91,,,SI1,62.4,56.0,3574.0,6.2,6.24,3.88
1.15,Premium,G,I1,61.2,58.0,,6.8,,
1.0,Very Good,H,SI2,59.1,62.0,3575.0,6.47,6.5,3.83
,,E,SI2,,59.0,3575.0,,6.23,4.08
0.93,Very Good,J,VS2,62.8,56.0,3576.0,6.14,6.22,3.88
0.71,Ideal,D,VS1,60.4,60.0,,5.77,5.82,3.5
,Ideal,I,VS2,61.8,56.0,3577.0,5.85,5.89,3.63
0.82,,E,SI1,,55.0,3577.0,5.98,6.0,3.72
,Good,H,,59.0,62.0,,,,3.69
0.84,Good,E,SI1,61.9,61.0,,,6.05,3.74
1.01,,G,SI2,60.8,63.0,3577.0,6.4,6.36,
,Premium,E,VS2,62.6,60.0,3577.0,5.97,5.91,3.72
0.9,Ideal,H,,62.0,,,6.17,6.19,3.83
0.9,Premium,D,SI2,58.7,,3578.0,6.3,6.28,
0.8,Ideal,G,VS1,,58.0,3578.0,5.96,6.03,
0.78,Good,,SI1,59.4,62.0,3578.0,6.02,6.07,3.59
,Premium,,IF,61.1,58.0,3578.0,5.8,5.72,3.52
0.91,Very Good,I,VS2,,58.0,3579.0,6.13,6.19,3.85
0.91,Premium,I,,62.7,,3579.0,,6.18,
1.06,,,SI2,58.4,62.0,3579.0,6.7,6.65,
0.9,Premium,D,SI2,58.8,59.0,3579.0,,,3.68
0.71,Very Good,E,,61.5,,3580.0,5.7,5.75,3.52
0.9,Very Good,I,SI1,62.3,58.0,3580.0,6.12,,3.83
0.9,,I,,63.3,59.0,,6.1,6.06,3.85
,Premium,I,VS1,62.2,58.0,3580.0,6.18,6.13,3.83
1.0,Good,,,64.3,59.0,3580.0,,6.21,
0.9,Very Good,I,VS2,61.6,,3581.0,6.13,6.17,
0.76,,,VS2,61.7,,3581.0,5.87,5.9,3.63
,Very Good,,SI2,,60.0,3581.0,6.19,,3.72
,Very Good,,,60.9,,3581.0,6.18,6.24,
0.78,Ideal,,VVS2,,56.0,3581.0,5.88,5.9,3.66
1.04,Good,F,SI2,64.0,60.0,3581.0,6.38,6.33,4.07
,,H,VS1,62.2,56.0,,,,3.69
1.02,Premium,,SI1,62.2,,3581.0,6.47,6.43,4.01
0.78,Ideal,E,VS2,61.4,56.0,3582.0,,5.95,
0.71,Ideal,,,61.5,58.0,3582.0,5.75,5.77,
0.71,Good,G,,57.8,,3583.0,5.82,5.95,3.4
0.79,,E,VS1,62.6,56.0,3583.0,,,3.69
0.98,Fair,H,SI1,68.6,58.0,3583.0,6.18,6.04,4.19
0.9,Very Good,,SI2,,59.0,3584.0,,6.18,
1.0,Premium,G,SI2,60.2,58.0,3584.0,6.55,,3.92
,Ideal,E,SI1,,55.0,3584.0,5.87,,3.61
0.9,,,,,59.0,3584.0,6.05,,
0.8,,E,VS2,62.2,57.0,3584.0,,5.95,3.71
1.0,,H,SI2,63.9,55.0,3584.0,6.41,,4.07
1.0,Premium,,SI2,61.3,57.0,3584.0,6.45,6.4,3.94
1.0,Fair,,SI1,64.8,59.0,3584.0,6.23,6.14,4.01
,Premium,H,,60.0,,3584.0,6.53,6.51,3.91
1.0,Premium,E,I1,60.9,61.0,,6.41,,3.89
1.0,Ideal,E,I1,61.8,56.0,,6.43,,3.96
1.0,Premium,F,,60.2,,3584.0,6.47,,3.88
0.7,Ideal,E,VVS2,62.2,54.0,3585.0,5.68,5.74,
0.7,Ideal,,VVS2,,,,5.66,5.71,3.55
0.97,Premium,D,,60.4,61.0,3585.0,6.4,6.37,3.86
0.92,Very Good,E,SI1,63.3,57.0,3586.0,6.22,,3.92
0.9,Ideal,J,VS1,61.6,55.0,,6.24,,3.85
0.7,,F,VVS1,61.9,60.0,3587.0,,5.63,3.5
1.04,Ideal,E,SI2,59.0,57.0,3588.0,6.65,6.6,
0.91,Ideal,F,SI2,,57.0,3588.0,6.27,6.3,3.83
0.82,Ideal,E,SI1,61.8,,3588.0,,6.01,3.7
1.11,,D,,61.9,,3589.0,6.63,6.66,4.11
0.73,Ideal,G,VS1,61.2,56.0,3589.0,5.82,5.85,3.57
0.95,Very Good,,,58.7,,3590.0,6.37,,3.76
0.78,,G,VS2,62.0,57.0,3590.0,5.9,,3.65
0.74,Ideal,F,VS1,61.9,54.0,3590.0,5.78,5.82,3.59
,Very Good,F,SI2,63.1,59.0,3590.0,6.51,6.46,
,Premium,G,IF,,58.0,,5.63,,3.52
0.84,Premium,E,VS2,62.4,60.0,3591.0,5.98,,
,Very Good,J,,,,3592.0,,6.38,3.94
1.01,Very Good,H,SI2,63.4,,3592.0,6.39,6.32,
0.9,Very Good,G,,62.6,60.0,,,6.16,3.84
0.82,,D,,,,3593.0,6.02,6.06,
,Fair,H,,,57.0,3593.0,5.94,,4.2
,Premium,,,,62.0,3593.0,6.66,6.58,3.93
0.74,Ideal,F,,62.0,57.0,,,5.78,
0.93,Premium,,SI2,60.8,59.0,,6.35,6.28,3.84
0.9,,,SI1,61.9,,3595.0,6.17,,3.83
,Very Good,H,,62.3,58.0,,,6.19,3.85
1.07,Ideal,G,SI2,60.8,57.0,3595.0,6.62,6.6,4.02
0.73,,G,VS2,61.6,56.0,3595.0,,5.83,3.58
,Ideal,D,VS2,61.7,57.0,,5.87,5.93,3.64
0.9,Good,E,SI2,63.7,63.0,3595.0,6.05,6.1,3.87
,Good,E,SI2,,,,,,3.78
0.9,Good,,SI2,64.1,58.0,3595.0,6.04,,3.89
0.9,,,SI2,65.8,60.0,3595.0,5.94,5.97,3.92
0.84,,G,VS2,61.8,57.0,3596.0,6.04,6.07,
0.9,,,,61.6,59.0,,6.13,6.19,
1.01,,,SI2,60.1,66.0,3597.0,6.44,6.41,3.86
,,D,SI1,62.6,55.0,3597.0,5.91,5.94,3.71
1.01,,F,,63.8,57.0,3597.0,6.36,,4.04
1.01,,I,,68.7,,3597.0,6.14,6.0,
,Fair,F,SI2,67.3,,3597.0,6.09,6.03,4.08
1.01,,F,SI2,66.7,64.0,3597.0,6.14,,4.06
1.01,Premium,F,SI2,61.3,58.0,3597.0,,6.33,3.91
1.01,Premium,F,SI2,62.2,58.0,3597.0,6.4,,3.97
,Ideal,J,SI1,60.5,56.0,3599.0,6.49,6.53,3.94
1.02,Premium,,SI2,62.6,60.0,3599.0,6.42,,4.01
,Premium,E,SI2,,60.0,3599.0,6.18,6.09,3.84
0.9,Premium,E,SI2,62.2,60.0,3599.0,,,
1.05,Premium,,SI2,60.7,61.0,3599.0,,,3.97
1.02,,F,,61.0,56.0,3599.0,6.53,6.51,3.98
,Ideal,E,SI2,62.0,55.0,3599.0,,,3.84
,,J,SI2,63.4,56.0,,6.42,6.36,4.05
1.5,,H,I1,61.1,59.0,3599.0,,,
0.9,Good,H,VS2,,57.0,,6.11,6.14,
0.81,Ideal,E,VS2,,55.0,3601.0,5.97,5.99,3.71
0.78,,,VS1,60.0,,3601.0,6.0,6.03,3.61
1.02,Very Good,,SI2,61.1,61.0,3601.0,6.44,6.5,3.95
0.9,,F,SI2,61.6,56.0,3601.0,6.22,6.29,3.85
0.72,Ideal,E,VS2,61.1,56.0,,5.78,5.81,3.54
0.78,Ideal,,VS2,61.7,,3601.0,5.92,6.0,3.68
0.72,Ideal,,,60.8,56.0,3601.0,5.78,5.82,3.53
0.72,Ideal,E,VS2,,56.0,3601.0,5.78,5.8,3.55
,,,,61.5,56.0,3601.0,5.77,5.81,3.56
,Premium,D,,62.7,56.0,3601.0,5.76,5.69,3.59
,Premium,G,SI2,61.3,60.0,3601.0,,6.59,
0.7,Ideal,,,61.0,57.0,3602.0,5.71,,3.5
0.83,,G,VS1,58.8,58.0,,6.2,,3.63
1.13,,H,,,56.0,3603.0,6.71,,4.12
1.04,Very Good,I,SI2,59.6,57.0,3603.0,6.6,,3.94
1.04,,,SI2,62.0,59.0,,,6.49,4.02
,,F,VS1,,,3603.0,5.84,5.89,3.74
0.83,Very Good,,VS1,63.3,56.0,3603.0,,5.92,3.77
1.1,Premium,I,,62.9,,3604.0,6.6,6.53,4.13
,Premium,F,,60.9,58.0,3604.0,5.76,5.8,3.52
1.01,Premium,D,SI2,58.0,,3604.0,6.58,6.53,
0.9,Good,D,VS2,57.9,,,6.33,6.24,
1.1,Premium,I,SI2,59.7,,3604.0,6.8,,4.01
0.9,Good,,,,58.0,3604.0,6.12,6.08,
0.9,,I,VS2,62.3,64.0,,6.1,,3.81
1.01,,D,,59.1,63.0,3605.0,6.54,,3.88
0.9,Very Good,F,SI2,63.4,,3605.0,,6.11,3.86
,Ideal,,VS2,61.8,,,5.91,,3.66
0.79,Ideal,D,,61.2,57.0,3605.0,5.94,5.98,3.65
,Ideal,I,,62.8,,3605.0,,6.64,4.22
1.11,,H,,,59.0,3605.0,6.7,6.64,4.03
0.73,Very Good,G,VVS1,62.9,,3606.0,5.7,,3.61
,Ideal,H,I1,62.0,55.0,3606.0,6.76,6.69,4.17
,Very Good,,VS1,63.0,60.0,,,,3.59
,,F,I1,,56.0,3607.0,6.69,,
1.03,Good,D,SI2,63.8,54.0,3607.0,6.36,,
1.13,Ideal,,I1,62.2,55.0,3607.0,6.68,6.63,4.14
,Premium,F,SI2,61.7,58.0,3609.0,6.22,,3.86
1.06,Ideal,F,I1,62.1,55.0,3609.0,,6.54,
0.9,Premium,E,,62.4,57.0,3609.0,,6.14,3.85
0.31,,D,SI1,61.1,,571.0,4.35,4.36,2.66
0.31,Very Good,,SI1,,58.0,571.0,4.3,4.33,
0.31,,D,SI1,,,571.0,4.33,4.37,2.71
0.31,Very Good,D,,62.9,,571.0,4.27,4.32,
0.31,Ideal,,VVS1,62.0,54.0,571.0,4.34,4.37,2.7
0.31,Premium,D,SI1,,60.0,571.0,4.35,4.41,2.68
,Good,D,,63.5,56.0,571.0,4.29,4.31,2.73
0.31,Very Good,D,SI1,,61.0,571.0,,,2.65
,Ideal,D,SI1,61.0,57.0,571.0,4.38,4.41,2.68
0.31,Ideal,D,,62.6,57.0,,4.3,4.33,2.7
0.31,,D,,62.9,56.0,571.0,4.31,4.34,2.72
